TargetID	cd1.AVG_Signal	cd2.AVG_Signal	cd3.AVG_Signal	gat1.AVG_Signal	gat2.AVG_Signal	gat3.AVG_Signal
MICAL3	19.3	16.7	2.7	6.8	3.2	0.8
MICALCL	4.2	3.2	0.4	0.0	0.0	0.2
MICALL2	2.8	8.9	3.5	75.2	17.7	2.0
MID1	24.1	34.9	5.7	13.7	34.0	2.8
MID1IP1	71.7	88.7	37.6	88.7	185.3	64.2
MID2	0.3	3.1	0.5	0.0	3.1	0.0
MIDN	695.8	408.9	577.1	306.0	400.8	539.6
MIER1	68.9	75.2	79.7	50.4	63.2	63.7
MIER2	3.5	0.0	1.9	5.0	2.4	0.0
MIER3	156.1	123.2	92.3	177.3	114.2	76.3
MIF	2641.9	2040.8	2308.1	1909.0	1994.3	2005.0
MIF4GD	416.9	461.8	509.6	264.4	149.4	593.8
MIL1-PENDING	0.0	0.0	0.0	0.0	0.0	1.3
MILL1	5.4	3.7	5.5	1.2	2.1	8.0
MILL2	0.0	1.0	0.0	0.1	0.0	3.4
MINA	34.2	50.2	77.8	23.1	45.2	75.2
MINK1	2.3	4.1	2.8	4.0	4.0	3.0
MINPP1	2.8	4.9	2.4	8.4	3.6	4.4
MINT-PENDING	0.0	0.0	6.3	1.2	3.4	1.2
MIOX	0.0	5.8	4.7	2.5	4.8	4.9
MIP	0.0	0.3	0.0	0.0	0.0	6.8
MIPEP	38.3	27.6	55.7	58.5	71.3	58.8
MIPOL1	1.1	1.5	0.0	0.0	0.0	0.0
MIR16	1039.2	823.1	935.2	942.9	662.9	852.0
MIS12	0.0	0.0	1.2	0.9	6.3	5.2
MIST1	5.6	11.4	14.9	98.1	7.9	24.2
MITD1	31.1	43.9	85.0	74.7	84.4	110.1
MITF	0.0	0.3	0.0	2.8	2.2	0.0
MIXL1	0.0	0.0	0.9	0.3	0.0	0.0
MIZ1	1.5	1.3	0.0	2.3	0.7	1.8
MIZF	15.8	12.1	14.7	14.1	9.5	8.5
MJ-1000-55_462	2.7	3.8	1.4	6.7	0.0	0.0
MJ-1000-56_266	0.0	0.4	1.5	0.0	0.0	0.1
